E	U	K	_U_LJ	_U_dd	_U_dc	_U_cd	_U_cc	_K_ang	_K_lin
1.3781208101166025	0.1281208101166024	1.25	0	-0.009479808420259486	-0.003506829643380597	-0.001274227470189369	0.14238167565043186	0.5000000000000001	0.7499999999999999
1.380185083764903	0.13018508376490276	1.2500000000000002	0	-0.009990441841610862	-0.003581548785032922	-0.0007672671962635912	0.14452434158781013	0.49999999999999994	0.7500000000000002
1.380566008953364	0.13056600895336376	1.2500000000000002	0	-0.011845823882380879	-0.0033882902127816616	-0.00038009505355607646	0.14618021810208237	0.5	0.7500000000000002
1.3787189978112415	0.1287189978112415	1.25	0	-0.01562825237985913	-0.002856776751300078	-0.00015022567350928343	0.14735425261590998	0.5	0.7500000000000001
1.374213992094162	0.124213992094162	1.25	0	-0.021804181167096183	-0.0019198918228169784	-0.00011140903160288863	0.14804947411567806	0.5000000000000002	0.7499999999999999
1.3671747181721976	0.11717471817219781	1.2499999999999998	0	-0.03025956005858729	-0.0005530286091069841	-0.00028112878968511494	0.1482684356295772	0.5	0.7499999999999998
1.3587759401366766	0.10877594013667626	1.2500000000000002	0	-0.03977193031629346	0.001177513847581526	-0.0006455409540717947	0.14801589755945999	0.5000000000000001	0.7500000000000001
1.3512266437594576	0.10122664375945752	1.25	0	-0.04802296405328178	0.0031034441185570968	-0.0011564663956976147	0.14730263008987982	0.4999999999999999	0.75
1.3469926762879392	0.0969926762879392	1.25	0	-0.05241218027796338	0.005001113275939595	-0.0017454101250950374	0.14614915341505802	0.5000000000000001	0.7499999999999999
1.3478341190524739	0.09783411905247397	1.25	0	-0.05106650086686358	0.006653619683434327	-0.0023408185889479435	0.14458781882485117	0.5	0.7499999999999999
1.3542594716144365	0.10425947161443654	1.25	0	-0.04341457347956653	0.007889497738204484	-0.0028778653741500133	0.1426624127299486	0.4999999999999999	0.75
1.3654810961971264	0.11548109619712688	1.2499999999999996	0	-0.03023956526960705	0.00859716742296191	-0.003302086616912848	0.14042558066068486	0.5	0.7499999999999997
1.379697486281559	0.12969748628155894	1.25	0	-0.013393298649153982	0.008726505239211499	-0.0035706909473022857	0.13793497063880372	0.5	0.7499999999999999
1.394524857917777	0.14452485791777692	1.25	0	0.004644412881787947	0.008284672903991128	-0.00365327233871645	0.13524904447071429	0.5	0.7500000000000001
1.4074572937644962	0.15745729376449574	1.2500000000000004	0	0.021237268910044016	0.007329034113526441	-0.0035322954171101073	0.1324232861580354	0.5	0.7500000000000003
1.4162842464942702	0.1662842464942704	1.2499999999999998	0	0.03402221979548752	0.005958085792317064	-0.0032033248966463835	0.1295072658031122	0.5000000000000001	0.7499999999999997
1.4194258999275544	0.1694258999275544	1.25	0	0.04125717383715819	0.004300822702769903	-0.002674890857968197	0.1265427942455945	0.5000000000000002	0.7499999999999999
1.416161975676813	0.1661619756768131	1.2499999999999998	0	0.04206143837665249	0.002505167150362287	-0.0019678755018506613	0.12356324565164897	0.5	0.7499999999999998
1.4067347896711522	0.15673478967115176	1.2500000000000004	0	0.03652858424467682	0.0007265455326951791	-0.001114345216413124	0.12059400511019289	0.5000000000000001	0.7500000000000003
1.3923119023459267	0.14231190234592672	1.25	0	0.025695976443015123	-0.0008821297923495004	-0.00015582405286574275	0.11765387974812683	0.5	0.7499999999999999
1.3748051887342554	0.12480518873425522	1.2500000000000002	0	0.011367344494628083	-0.0021782609068576224	0.0008589255606013511	0.11475717958588341	0.5	0.7500000000000002
1.3565642788599215	0.10656427885992148	1.25	0	-0.004192949446206162	-0.003035332528609735	0.0018765134710524401	0.11191604736368493	0.5	0.7499999999999999
1.339989392499537	0.08998939249953694	1.25	0	-0.018647061445055468	-0.0033479048317217783	0.002841818619965331	0.10914254015634886	0.49999999999999994	0.75
1.3271324714344763	0.07713247143447642	1.25	0	-0.02998094041158614	-0.003037647814028387	0.003701073194824822	0.10644998646526613	0.5	0.75
1.3193652836794656	0.06936528367946548	1.25	0	-0.03683115169748177	-0.0020618876732369494	0.004405041377702415	0.10385328167248178	0.5000000000000001	0.7499999999999998
1.3171817828902208	0.06718178289022078	1.25	0	-0.03867367156449085	-0.0004247681097648494	0.004912199715268557	0.10136802284920793	0.5	0.75
