E	U	K	_U_LJ	_U_dd	_U_dc	_U_cd	_U_cc	_K_ang	_K_lin
0.2959811281761421	-0.9540188718238584	1.2500000000000004	0	-0.1934642318575622	-0.02347979746282258	0.02020936346404394	-0.7572842059675176	0.5000000000000001	0.7500000000000002
0.32450722032960977	-0.9254927796703902	1.25	0	-0.178607793338011	-0.026683275855399525	0.021366370586035667	-0.7415680810630153	0.5	0.75
0.31946930887262526	-0.9305306911273747	1.25	0	-0.19740566965043246	-0.02910683614152014	0.021877016095801213	-0.7258952014312234	0.4999999999999999	0.75
0.2890818024093269	-0.9609181975906731	1.25	0	-0.24187181466543234	-0.030689830632413956	0.021697831832790122	-0.7100543841256169	0.49999999999999994	0.75
0.2502889237882361	-0.9997110762117644	1.2500000000000004	0	-0.2945518273099837	-0.03133692636967447	0.020772675275877138	-0.6945949978079833	0.5	0.7500000000000003
0.2220734170051908	-1.027926582994809	1.2499999999999998	0	-0.3357046149825662	-0.030944815772087818	0.019073447885268102	-0.680350600125423	0.5	0.7499999999999998
0.21791187432818715	-1.0320881256718129	1.25	0	-0.3512198475612828	-0.029421292187551722	0.016619624999879623	-0.6680666109228578	0.5	0.75
0.2416668104868982	-1.0083331895131018	1.25	0	-0.3368807880793576	-0.02668193769573459	0.013471430054924637	-0.6582418937929342	0.5000000000000001	0.7499999999999998
0.2874935264668028	-0.9625064735331974	1.2500000000000002	0	-0.2984109164424936	-0.022640912450259336	0.009708165769457728	-0.6511628104099021	0.5000000000000001	0.7500000000000001
0.3420280807339682	-0.9079719192660318	1.25	0	-0.24909322790980373	-0.01722632352449632	0.00540554140099005	-0.6470579092327218	0.5	0.75
0.3874021731193441	-0.8625978268806561	1.2500000000000002	0	-0.2064648875510041	-0.010437294198572922	0.0006177644960135347	-0.6463134096270926	0.49999999999999994	0.7500000000000003
0.404841394143337	-0.8451586058566635	1.2500000000000004	0	-0.18838909088146136	-0.0024191952906408905	-0.004637090091050962	-0.6497132295935103	0.5000000000000002	0.7500000000000001
0.37863043139199126	-0.8713695686080087	1.25	0	-0.20879820504358879	0.006512819190619355	-0.010394124882350702	-0.6586900578726886	0.5000000000000001	0.7499999999999998
