E	U	K	_U_LJ	_U_dd	_U_dc	_U_cd	_U_cc	_K_ang	_K_lin
0.9865819924696391	-0.2634180075303612	1.2500000000000002	0	-0.10642635049110022	-0.008830484144059212	0.017515584530848605	-0.16567675742605037	0.49999999999999994	0.7500000000000002
0.9761685451639351	-0.2738314548360651	1.2500000000000002	0	-0.12436421378116289	-0.006356688172878277	0.017163290511451584	-0.1602738433934755	0.5000000000000001	0.7500000000000001
0.957141935767891	-0.2928580642321088	1.2499999999999998	0	-0.14658193445178028	-0.0028989224307690575	0.016252497762129607	-0.15962970511168906	0.5	0.7499999999999998
0.9393967206409415	-0.31060327935905846	1.25	0	-0.1636642564672541	0.0010095862047897336	0.014981348901806083	-0.16292995799840015	0.5000000000000001	0.75
0.9304313601194346	-0.3195686398805654	1.25	0	-0.1687716671255322	0.004857281763541132	0.013557142805135956	-0.16921139732371027	0.5000000000000001	0.75
0.9328421114171748	-0.3171578885828252	1.25	0	-0.15993697007657692	0.008251011316097259	0.01215248030493362	-0.17762441012727914	0.4999999999999998	0.7500000000000001
0.9446665487300936	-0.3053334512699064	1.25	0	-0.13963697037615372	0.010955391593201117	0.010884669305393412	-0.1875365417923472	0.49999999999999994	0.7500000000000001
0.9614220018261097	-0.2885779981738903	1.25	0	-0.11276292971267139	0.012884808536396695	0.009815522807690793	-0.19851539980530636	0.49999999999999994	0.75
0.9783254047803334	-0.27167459521966636	1.2499999999999998	0	-0.08443926160967968	0.014068065352050702	0.00896224997644351	-0.21026564893848088	0.49999999999999994	0.7499999999999999
0.9917536366839339	-0.2582463633160659	1.2499999999999998	0	-0.0585922701871545	0.014604339489725537	0.008311867012056107	-0.22257029963069302	0.49999999999999983	0.75
0.9997379239984867	-0.2502620760015138	1.2500000000000004	0	-0.03746626628495372	0.014623636603966001	0.007834820488349834	-0.2352542668088759	0.5000000000000001	0.7500000000000002
1.0017630793887853	-0.2482369206112145	1.2499999999999998	0	-0.02182305532286798	0.014259118061183376	0.007495665258357945	-0.24816864860788784	0.4999999999999999	0.7499999999999999
0.9982806436787158	-0.2517193563212844	1.2500000000000002	0	-0.011424813167236402	0.01363279029019953	0.0072600226065436075	-0.26118735605079113	0.5000000000000001	0.7500000000000001
0.9902413273222234	-0.25975867267777664	1.25	0	-0.005499833738393206	0.01285136384450995	0.0070981281681811665	-0.27420833095207453	0.5	0.7500000000000001
0.9787733946148318	-0.271226605385168	1.2499999999999998	0	-0.0030651019126483993	0.012007345213774844	0.006985931206802455	-0.2871547798930969	0.49999999999999994	0.7499999999999998
0.9650050290238223	-0.28499497097617765	1.25	0	-0.00310641389519816	0.011181393092717063	0.006904809423954048	-0.2999747595976506	0.49999999999999994	0.7500000000000001
0.9499804153649476	-0.3000195846350522	1.2499999999999998	0	-0.004665084084209344	0.010443917782224558	0.006840707709395915	-0.3126391260424633	0.49999999999999983	0.7499999999999999
0.9346217984826367	-0.3153782015173633	1.25	0	-0.0068783331720071225	0.009855433440344244	0.006783172435662933	-0.3251384742213633	0.5	0.75
0.9197082903058106	-0.3302917096941894	1.25	0	-0.009002395861499922	0.009465917830181591	0.006724492358283946	-0.33747972402115506	0.5000000000000001	0.75
0.9058585834150745	-0.3441414165849252	1.2499999999999998	0	-0.010431216317585163	0.009313620277853365	0.006659003714893014	-0.3496828242600864	0.49999999999999983	0.75
0.8935145587979401	-0.35648544120206016	1.2500000000000002	0	-0.010713842344870671	0.009423701651953227	0.006582544954042455	-0.36177784546318514	0.5000000000000002	0.75
0.8829272918982946	-0.3670727081017059	1.2500000000000004	0	-0.009569139579055246	0.009806990006850074	0.006492022225638542	-0.3738025807551393	0.5000000000000001	0.7500000000000002
0.8741483675556458	-0.3758516324443541	1.25	0	-0.0068950684649027654	0.0104590711396104	0.006385045973915445	-0.38580068109297716	0.5	0.75
0.8670293207400098	-0.3829706792599902	1.25	0	-0.0027698961408551452	0.0113599126144059	0.006259607384014884	-0.3978203031175558	0.4999999999999999	0.75
0.8612313060368919	-0.38876869396310854	1.2500000000000004	0	0.002556541568568041	0.012474220669498059	0.006113773668171781	-0.4099132298693464	0.5000000000000001	0.7500000000000002
0.8562461460802943	-0.39375385391970574	1.25	0	0.0086824582148133	0.013752722652876512	0.005945389891335269	-0.4221344246787308	0.5000000000000001	0.75
0.8514288298847358	-0.3985711701152642	1.25	0	0.015084509873506489	0.015134528225376007	0.005751781023479365	-0.4345419892376261	0.5	0.7500000000000001
0.8460403290980654	-0.40395967090193463	1.25	0	0.02115775666019364	0.016550635737519484	0.005529451011993127	-0.4471975143116409	0.5	0.75
0.8392982708238478	-0.4107017291761522	1.25	0	0.026262813806199034	0.017928515398073552	0.00527377617559526	-0.4601668345560201	0.4999999999999999	0.75
0.83043160424576	-0.41956839575424	1.25	0	0.02977661018009114	0.019197533899428663	0.004978688483146416	-0.4735212283169062	0.49999999999999994	0.7500000000000001
0.8187340585337901	-0.4312659414662099	1.25	0	0.031142043263055273	0.020294816725128523	0.004636340448041365	-0.48733914190243505	0.5000000000000001	0.7499999999999999
0.8036101031458008	-0.44638989685419916	1.25	0	0.02991092268432631	0.021171013953967463	0.00423673714275171	-0.5017085706352447	0.5	0.7499999999999999
0.7846064802631918	-0.46539351973680804	1.2499999999999998	0	0.025774091964534743	0.0217953815092415	0.003767311187887167	-0.5167303043984715	0.5000000000000001	0.7499999999999997
0.761422297594619	-0.48857770240538095	1.25	0	0.018572613966791288	0.02215963936118124	0.003212401363134157	-0.5325223570964877	0.4999999999999999	0.7500000000000001
